museum_id,name,url,location,city,latitude,longitude,image_url,image_alt,page
8936,Estonian Road Museum,https://muuseumikaart.ee/en/museums/estonian-road-museum/,"Varbuse, Kanepi vald, Põlvamaa",Varbuse,58.0293336,26.913612,https://muuseumikaart.ee/wp-content/uploads/fly-images/19533/maanteemuuseum-DSC_0232foto_Ulle-Jukk-scaled-290x150-c.jpg,maanteemuuseum-DSC_0232foto_Ülle Jukk,3
8984,Estonian Health Museum,https://muuseumikaart.ee/en/museums/estonian-health-museum/,"Lai 28/30, Tallinn",Tallinn,59.43938499999999,24.745419,https://muuseumikaart.ee/wp-content/uploads/fly-images/1315/56d957332799e4a75854805ea99d3ee2-290x150-c.jpg,,3
8990,The Tartu Art Museum,https://muuseumikaart.ee/en/museums/tartu-art-museum/,"Raekoja plats 18, Tartu",Tartu,58.3807808,26.7242094,https://muuseumikaart.ee/wp-content/uploads/fly-images/7270/c0f6ebdeb794b968d9115ed205c0fdd4-290x150-c.jpg,,10
9012,19th Century Tartu Citizen’s Museum,https://muuseumikaart.ee/en/museums/19th-century-tartu-citizens-museum/,"Jaani 16, Tartu",Tartu,58.382897,26.7188275,https://muuseumikaart.ee/wp-content/uploads/fly-images/21798/65_Tartu-Linnaajaloo-Muuseumid-autor-Mikko-Leo-Selg-1-scaled-290x150-c.jpg,65_Tartu Linnaajaloo Muuseumid (autor Mikko Leo Selg),2
9022,Long House,https://muuseumikaart.ee/en/museums/long-house-of-the-hiiumaa-museum/,"Vabrikuväljak 8, Kärdla, Hiiumaa",Kärdla,59.0041221,22.7463384,https://muuseumikaart.ee/wp-content/uploads/fly-images/7504/a1452b80c869cc7892bb5283659d2d4d-290x150-c.jpg,Hiiumaa Muuseumi Pikk Maja,5
9030,Kalamaja Museum,https://muuseumikaart.ee/en/museums/kalamaja-museum/,"Kotzebue 16, Tallinn",Tallinn,59.4428375,24.7368845,https://muuseumikaart.ee/wp-content/uploads/fly-images/20176/Vaade-Kalamaja-muuseumi-ekspositsiooni-290x150-c.jpg,Vaade Kalamaja muuseumi ekspositsiooni,5
9038,The Kohtla-Järve Museum of Oil Shale,https://muuseumikaart.ee/en/museums/kohtla-jarve-oil-shale-museum/,"Tuuslari 22, Kohtla-Järve, Ida-Virumaa",Kohtla-Järve,59.40067269999999,27.2878231,https://muuseumikaart.ee/wp-content/uploads/fly-images/356/108eeec647840b4bbbfe64663416abfe-290x150-c.jpg,Kohtla-Järve Põlevkivimuuseum,9
9042,The Railway and Communications Museum,https://muuseumikaart.ee/en/museums/railway-and-communications-museum/,"Raudtee 2, Haapsalu",Haapsalu,58.93836580000001,23.5320455,https://muuseumikaart.ee/wp-content/uploads/fly-images/364/d8404d8bbdd8507044de39431836e135-290x150-c.jpg,,10
9052,Estonian Dairy Museum,https://muuseumikaart.ee/en/museums/estonian-dairy-museum/,"H. Rebase tee 1, Imavere küla, Järvamaa",Imavere,58.73354570000001,25.7665936,https://muuseumikaart.ee/wp-content/uploads/fly-images/17211/51255710054_ed5be69068_o-scaled-290x150-c.jpg,51255710054_ed5be69068_o,3
9059,Dr. Fr. R. Kreutzwald Memorial Museum,https://muuseumikaart.ee/en/museums/dr-fr-r-kreutzwald-memorial-museum/,"F. R. Kreutzwaldi 31, Võru",Antsla,57.83295690000001,26.5380638,https://muuseumikaart.ee/wp-content/uploads/fly-images/7843/4d08b26fce87d7e65bb8c3c251ada56e-290x150-c.jpg,,2
